"","CUAL","LNGS","PTLC","DSTA","LFRT","LBTEF","CBTR","NMLB","ANGB","CUAL9M","LVC9M","TNPR9M","PL9M","STRP","STRC","PSTR","NMSR","TTRN","TFWSR","TTRW","TFWSS","TTSW","TTPW","AVPW","ARSR","SRDM","Cluster"
"TMe-415","Green purple","Medium","Purple","Totally pigmented","50-75% leaf retention","3","Cream","3","450-600","Green purple","Green purple","5","Long (25-30cm)","Absent","Present","Irregular",23,4.6,14,2.8,10,2,24,4.8,5,39.4,IV
"TMe-417","Purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","3","Long (25-30cm)","Absent","Present","Irregular",16,8,3.8,1.9,10.2,5.1,14,7,0,38.6,V
"TMe-418","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","2","450-600","Green purple","Dark green","1","Long (25-30cm)","Intermediate","Present","Irregular",8,2.66666666666667,2,0.666666666666667,0.8,0.266666666666667,2.8,0.933333333333333,0,35.7,V
"TMe-419","Green purple","Medium","Green purple","Central part","50-75% leaf retention","1","White","1","450-600","Green purple","Light green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",2,2,1,1,2.4,2.4,3.4,3.4,0,44.3,V
"TMe-420","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","Cream","0","No branching","Light green","Green purple","5","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",8,1.6,1.2,0.24,4,0.8,5.2,1.04,2,39.1,III
"TMe-423","Green purple","Medium","Green purple","Central part","50-75% leaf retention","3","Cream","3","150-300","Purple","Dark green","1","Long (25-30cm)","Short","Absent","Tending toward horizontal",5,2.5,0.6,0.3,0.8,0.4,1.4,0.7,2,40.7,V
"TMe-424","Green purple","Long","Green purple","Central part","50-75% leaf retention","3","Cream","2","450-600","Purple","Dark green","3","Medium (15-20cm)","Absent","Present","Irregular",9,4.5,4,2,6.2,3.1,10.2,5.1,3,38.8,V
"TMe-425","Dark green","Medium","Purple","Totally pigmented","25-50% leaf retention","2","Cream","0","No branching","Green","Green purple","3","Medium (15-20cm)","Absent","Absent","Tending toward horizontal",4,1.33333333333333,1.2,0.4,2.2,0.733333333333333,3.4,1.13333333333333,1,43.9,III
"TMe-427","Green purple","Long","Purple","Totally pigmented","25-50% leaf retention","3","Cream","2","750-900","Green purple","Green purple","2","Medium (15-20cm)","Absent","Present","Tending toward horizontal",7,7,5,5,11,11,16,16,1,35.7,IV
"TMe-428","Green purple","Medium","Purple","Totally pigmented","25-50% leaf retention","3","Cream","2","150-300","Green purple","Green purple","2","Medium (15-20cm)","Short","Present","Tending toward horizontal",4,2,1.8,0.9,1.2,0.6,3,1.5,0,39.1,IV
"TMe-429","Green purple","Medium","Green purple","Top part","50-75% leaf retention","3","Cream","3","450-600","Purple","Dark green","5","Medium (15-20cm)","Short","Present","Irregular",15,3,13.2,2.64,15,3,28.2,5.64,1,34.7,V
"TMe-433","Green purple","Medium","Green purple","Central part","50-75% leaf retention","0","White","0","No branching","Green purple","Green purple","5","Long (25-30cm)","Short","Present","Tending toward horizontal",11,3.66666666666667,2,0.666666666666667,3.6,1.2,5.6,1.86666666666667,5,40.6,II
"TMe-434","Dark green","Medium","Purple","Totally pigmented","50-75% leaf retention","0","White","0","No branching","Light green","Green purple","4","Long (25-30cm)","Intermediate","Present","Tending toward horizontal",10,3.33333333333333,1.8,0.6,4,1.33333333333333,5.8,1.93333333333333,3,34.7,III
